Total Length of Bwd Packets,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,Label
78833,813,1566,391,221255,1692,1040,55947,65060,65437,ATTACK
9750,282,433,149,19002,434,264,8438,61127,59180,BENIGN
10564,373,352,90,18988,431,311,12322,64391,58374,BENIGN
10221,356,514,110,16943,424,344,10206,65425,64427,BENIGN
10965,339,483,85,18956,549,311,7023,62778,63984,BENIGN
61452,1137,1488,318,123323,1605,1394,52857,65163,65291,ATTACK
10128,267,399,124,19359,395,246,9136,62863,58165,BENIGN
55564,1454,1763,396,272774,1744,855,61685,65324,65202,ATTACK
43675,1046,1960,557,288195,1958,1147,41388,65239,65100,ATTACK
14554,392,483,127,14171,355,322,12610,63018,64612,BENIGN
13121,213,396,137,13174,365,296,9521,62921,58132,BENIGN
43263,1104,1251,437,145446,1455,1271,59259,65106,65124,ATTACK
72671,1128,1605,426,136154,1412,1136,45372,65420,65175,ATTACK
41147,1151,1303,521,296910,1398,800,75644,65193,65140,ATTACK
8922,248,469,127,24909,519,241,11820,62902,60117,BENIGN
58396,1259,1307,587,238888,1260,1229,50551,65087,65194,ATTACK
9010,363,409,86,18191,381,298,12197,61194,64619,BENIGN
42700,1114,1638,330,258257,1233,1374,62787,65415,65130,ATTACK
74851,1219,1901,487,213889,1767,817,57619,65163,65339,ATTACK
42403,1375,1721,409,298549,1282,917,66790,65074,65432,ATTACK
43826,1314,1541,583,290410,1818,809,59576,65173,65057,ATTACK
10176,218,527,129,12265,369,259,9514,62469,58994,BENIGN
8857,296,395,122,10045,427,266,10657,64992,59741,BENIGN
75076,1354,1420,335,250518,1484,1057,44175,65505,65005,ATTACK
10437,325,515,120,14519,378,346,10664,62302,63616,BENIGN
61743,814,1760,400,226355,1658,975,48015,65314,65111,ATTACK
12592,294,426,106,16766,546,314,9324,61394,58229,BENIGN
46562,1418,1484,571,287635,1921,1254,40528,65533,65430,ATTACK
77757,943,1351,370,215342,1701,868,54565,65289,65477,ATTACK
77151,1029,1843,581,168449,1537,894,72411,65083,65258,ATTACK
11412,241,362,87,15617,470,201,8199,62705,59810,BENIGN
14758,241,423,89,12234,533,344,9965,61744,60661,BENIGN
9856,396,459,101,12393,451,201,8990,64757,58348,BENIGN
13783,384,542,98,20657,354,262,10311,62897,64006,BENIGN
57898,1206,1947,378,129160,1415,1394,57294,65247,65272,ATTACK
11980,244,400,142,16162,357,341,13178,65230,59524,BENIGN
65384,1119,1658,423,219030,1295,899,73652,65240,65169,ATTACK
9789,397,440,100,10377,469,227,11771,60502,59130,BENIGN
14125,271,496,122,12131,427,261,11737,60825,59017,BENIGN
69832,1219,1754,463,290216,1387,1249,41448,65207,65085,ATTACK
52538,1458,1385,556,149411,1859,1213,70421,65285,65421,ATTACK
8337,347,450,89,8011,504,217,8635,65257,60322,BENIGN
79618,958,1961,375,179570,1819,919,73555,65250,65406,ATTACK
12232,355,488,144,21868,381,231,13669,62915,61786,BENIGN
44254,1402,1579,496,248212,1757,1091,67336,65521,65062,ATTACK
11587,392,398,118,11442,460,211,9268,62977,58029,BENIGN
11244,323,476,87,8023,543,308,10575,62898,64496,BENIGN
14164,356,514,105,8316,503,298,8558,60542,62094,BENIGN
10210,276,511,93,24357,402,276,10915,61912,62327,BENIGN
9725,352,511,115,24351,512,322,9295,60221,63998,BENIGN
9269,343,467,144,9314,362,325,11980,64784,64298,BENIGN
55827,1155,1305,309,259939,1598,938,73390,65493,65316,ATTACK
13768,201,515,121,11291,520,266,11597,64120,62295,BENIGN
56114,1299,1234,439,210301,1977,853,55245,65397,65140,ATTACK
8486,368,434,88,7412,453,335,7054,65475,62140,BENIGN
55327,994,1715,468,116965,1728,1208,70116,65100,65361,ATTACK
10023,304,486,88,17558,471,228,13127,60288,59735,BENIGN
48349,1157,1268,447,198351,1259,1041,52922,65459,65037,ATTACK
12820,328,476,95,23625,546,261,11270,61743,63343,BENIGN
14782,306,432,111,13760,527,224,12593,61465,61775,BENIGN
14539,367,549,110,23159,528,340,12964,62101,64003,BENIGN
65778,1242,1453,402,133652,1669,904,45297,65467,65123,ATTACK
46699,1012,1314,599,241480,1272,1305,47446,65044,65058,ATTACK
10287,297,374,115,8342,453,278,7401,61435,62330,BENIGN
13215,281,380,121,6994,507,209,9337,61931,64913,BENIGN
74456,1083,1805,396,102715,1957,851,76270,65252,65091,ATTACK
11216,396,491,89,10672,397,266,7219,61255,63545,BENIGN
53652,1201,1908,331,107994,1626,1090,66129,65401,65494,ATTACK
53856,965,1955,567,164348,1251,1088,57522,65357,65274,ATTACK
10283,283,469,148,7608,396,249,8437,60868,62335,BENIGN
46329,1132,1460,354,105043,1296,1329,79750,65210,65308,ATTACK
8129,316,351,130,8220,459,257,7659,64507,58856,BENIGN
12206,227,535,94,12207,498,274,9451,63913,64503,BENIGN
8583,308,368,143,23410,503,347,12140,60522,62609,BENIGN
10891,336,467,145,20331,396,298,10882,62943,60813,BENIGN
71439,802,1241,588,140137,1939,971,78555,65446,65379,ATTACK
8949,251,507,146,7778,366,310,8522,60340,59154,BENIGN
56854,1379,1784,482,193516,1363,1195,76444,65349,65359,ATTACK
71833,822,1316,456,221201,1485,847,60583,65054,65357,ATTACK
9141,251,480,143,9437,483,212,10201,60501,63110,BENIGN
40080,1079,1940,445,274028,1939,934,47316,65487,65478,ATTACK
14418,316,485,95,7855,509,326,13463,64547,61859,BENIGN
58797,1334,1402,313,118342,1574,1149,59220,65336,65254,ATTACK
12035,339,512,115,13066,465,222,8887,62236,64763,BENIGN
66670,895,1945,325,128481,1286,1289,65183,65360,65002,ATTACK
14141,335,439,105,11577,471,346,13470,61524,63862,BENIGN
10850,281,370,149,18369,429,277,11343,62579,62326,BENIGN
12638,272,451,100,22054,542,215,7920,61921,62045,BENIGN
63395,1190,1252,582,262191,1725,860,78612,65146,65160,ATTACK
54420,1398,1338,366,111314,1236,927,72946,65250,65034,ATTACK
74733,1455,1814,366,261506,1933,928,69687,65022,65139,ATTACK
68176,1333,1201,569,242368,1429,833,43393,65243,65083,ATTACK
68138,1210,1342,502,131663,1408,1263,74096,65276,65098,ATTACK
8558,246,367,143,22311,529,232,11273,64580,63089,BENIGN
10290,360,474,88,16693,474,264,13386,62109,64363,BENIGN
10856,229,509,96,11968,487,229,9448,65263,63133,BENIGN
50150,1029,1840,356,185493,1725,848,58729,65253,65481,ATTACK
64903,1499,1740,340,261109,1253,1230,72187,65236,65300,ATTACK
47166,930,1921,599,238410,1527,935,67900,65253,65337,ATTACK
65203,958,1790,412,130819,1962,1261,45948,65377,65442,ATTACK
11709,387,464,83,17494,425,310,9447,60790,58356,BENIGN
53414,1375,1814,401,115612,1957,1081,62989,65013,65154,ATTACK
9415,324,372,99,15128,375,201,8609,63627,59298,BENIGN
59423,962,1410,554,252848,1276,1062,59061,65056,65497,ATTACK
68685,1428,1562,325,238948,1720,1026,51707,65244,65312,ATTACK
14051,275,522,126,19342,376,278,12527,61940,62323,BENIGN
8470,317,520,88,14292,503,310,10465,60539,62026,BENIGN
58342,1459,1807,307,122150,1464,884,41042,65395,65046,ATTACK
41448,1205,1894,566,259533,1227,803,76801,65093,65500,ATTACK
11751,234,420,133,7233,454,328,7831,64356,60958,BENIGN
48360,832,1721,353,123458,1294,1368,72991,65206,65470,ATTACK
47852,1340,1246,477,237519,1454,952,66311,65182,65342,ATTACK
10957,311,360,106,7734,420,236,11467,61524,62943,BENIGN
14682,228,420,119,9586,363,334,7498,64725,60797,BENIGN
59568,1252,1615,453,251134,1910,1002,61967,65379,65421,ATTACK
11606,361,382,126,19645,455,326,13659,63064,61611,BENIGN
79473,998,1238,387,212101,1729,1074,73933,65480,65390,ATTACK
14009,288,486,129,16625,437,337,8037,60762,59216,BENIGN
10891,216,531,81,6999,369,305,13408,62512,61443,BENIGN
10623,362,481,115,11225,382,253,9404,63461,60842,BENIGN
42670,1197,1483,462,174332,1236,1315,71099,65175,65068,ATTACK
10025,201,368,147,20521,453,311,13743,60880,62816,BENIGN
66545,1333,1605,499,259144,1252,1167,71841,65217,65177,ATTACK
63103,1150,1951,443,225523,1319,951,59326,65231,65518,ATTACK
10066,260,502,137,13846,447,238,9646,61088,58614,BENIGN
8310,253,529,142,19392,372,200,12142,61321,58661,BENIGN
14808,341,544,94,12402,469,313,11349,61431,61924,BENIGN
8404,206,527,94,21277,402,268,9073,65158,58038,BENIGN
61794,1433,1899,591,277463,1737,979,46194,65022,65280,ATTACK
9815,212,524,97,20914,461,201,9543,64623,63933,BENIGN
79961,1229,1551,388,105471,1549,1218,71514,65268,65457,ATTACK
10892,265,375,134,23193,429,326,10758,60659,61139,BENIGN
9470,220,529,135,7496,443,252,8309,60721,62612,BENIGN
